Food,Disease,Status,Reason,Biomarker,Curing/Alternative Foods
Almond,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Almond,Heart Disease,Good,Rich in healthy fats,LDL,This food is recommended for this condition
Almond,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Almond,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Almond,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Almond,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Amaranth,Diabetes,Good,"High in fiber, complex carb",Blood Glucose,This food is recommended for this condition
Amaranth,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Amaranth,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Amaranth,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Amaranth,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Amaranth,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Apple,Diabetes,Good,"High fiber, lower GI",Blood Glucose,This food is recommended for this condition
Apple,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Apple,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Apple,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Apple,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Apple,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Apricot,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Quinoa, Buckwheat, Blackberry"
Apricot,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Apricot,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Apricot,Kidney Disease,Avoid,High in potassium,Potassium,Consult nutritionist for alternatives
Apricot,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Apricot,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Artichoke,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Artichoke,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Artichoke,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Artichoke,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Artichoke,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Artichoke,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Arugula,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Arugula,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Arugula,Hypertension,Good,"Rich in beneficial compounds (nitrates, etc.)",Blood Pressure,This food is recommended for this condition
Arugula,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Arugula,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Arugula,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Asparagus,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Asparagus,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Asparagus,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Asparagus,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Asparagus,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Asparagus,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Avocado,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Avocado,Heart Disease,Good,Rich in monounsaturated fats,LDL,This food is recommended for this condition
Avocado,Hypertension,Good,High potassium,Blood Pressure,This food is recommended for this condition
Avocado,Kidney Disease,Avoid,Extremely high in potassium,Potassium,Consult nutritionist for alternatives
Avocado,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Avocado,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bagel,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bagel,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bagel,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bagel,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bagel,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bagel,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Banana,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Spelt, Oats, Amaranth"
Banana,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Banana,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Banana,Kidney Disease,Avoid,High in potassium,Potassium,Consult nutritionist for alternatives
Banana,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Banana,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Barley,Diabetes,Good,"High in fiber, complex carb",Blood Glucose,This food is recommended for this condition
Barley,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Barley,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Barley,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Barley,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Barley,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Beef,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Beef,Heart Disease,Avoid,High in saturated fat,LDL,"Recommended instead: Chia seeds, Pistachio, Flax seeds"
Beef,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Beef,Kidney Disease,Avoid,High protein load,Creatinine,Consult nutritionist for alternatives
Beef,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Beef,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Beetroot,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Beetroot,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Beetroot,Hypertension,Good,"Rich in beneficial compounds (nitrates, etc.)",Blood Pressure,This food is recommended for this condition
Beetroot,Kidney Disease,Avoid,High in potassium,Potassium,Consult nutritionist for alternatives
Beetroot,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Beetroot,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bell pepper (Capsicum),Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bell pepper (Capsicum),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bell pepper (Capsicum),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bell pepper (Capsicum),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bell pepper (Capsicum),Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Bell pepper (Capsicum),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Biscuits,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Biscuits,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Biscuits,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Biscuits,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Biscuits,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Pumpkin, Green beans, Mustard greens"
Biscuits,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bitter gourd,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bitter gourd,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bitter gourd,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bitter gourd,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bitter gourd,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Bitter gourd,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blackberry,Diabetes,Good,"High fiber, lower GI",Blood Glucose,This food is recommended for this condition
Blackberry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blackberry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blackberry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blackberry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blackberry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blueberry,Diabetes,Good,"High fiber, lower GI",Blood Glucose,This food is recommended for this condition
Blueberry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blueberry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blueberry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blueberry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Blueberry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bottle gourd,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bottle gourd,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bottle gourd,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bottle gourd,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bottle gourd,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Bottle gourd,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Brazil nut,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Brazil nut,Heart Disease,Good,Rich in healthy fats,LDL,This food is recommended for this condition
Brazil nut,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Brazil nut,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Brazil nut,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
